Fund,Department,BCL Code,BCL Name,BCL Purpose,2014 Expenditure Allowance 
General Subfund,Seattle Municipal Court,M2000,Court Operations,"The purpose of the Court Operations Budget Control Level is to hold hearings and address legal requirements for defendants and others who come before the Court. Some proceedings are held in formal courtrooms and others in magistrate offices, with the goal of providing timely resolution of alleged violations of City ordinances and misdemeanor crimes committed within the Seattle city limits.",16517907.00
General Subfund,Seattle Municipal Court,M3000,Court Administration,"The purpose of the Court Administration Budget Control Level is to provide administrative controls, develop and provide strategic direction, and provide policy and program development.",6278790.00
General Subfund,Seattle Municipal Court,M4000,Court Compliance,The purpose of the Court Compliance Budget Control Level is to help defendants understand the Court's expectations and to assist them in successfully complying with court orders.,5492767.00
General Subfund,Seattle Police Department,P1000,Chief of Police,"The purpose of the Chief of Police Program is to lead and direct department employees and to provide policy guidance and oversee relationships with the community, with the goal that the department provide the City with professional, dependable, and respectful public safety services.",3628345.00
General Subfund,Seattle Police Department,P1300,Office of Professional Accountability,"The purpose of the Office of Professional Accountability Budget Control Level is to help to provide oversight with the goal that complaints involving department employees are handled in a thorough, professional, and expeditious manner, to retain the trust and confidence of employees and the public.",1971424.00
General Subfund,Seattle Police Department,P1600,Deputy Chief of Staff,"The purpose of the Deputy Chief of Staff Budget Control Level is to oversee the organizational support and legal functions of the Department to help achieve its mission. The Deputy Chief of Staff Budget Control Level includes the Chief of Administration who oversees the Records and Files, Data Center, and Public Request Programs, which had been their own Budget Control Levels in prior budgets. The Deputy Chief of Staff Budget Control Level was known as the Deputy Chief of Administration in previous budgets.",26322311.00
General Subfund,Seattle Police Department,P1800,Deputy Chief Operations,"The purpose of the Deputy Chief Operations Budget Control Level is to oversee the operational functions of the Department with the goal that the public receives public safety services that are dependable, professional, and respectful. The Deputy Chief Operations Budget Control Level oversees the five Precincts and associated personnel.",2332794.00
General Subfund,Seattle Police Department,P3400,Special Operations,"The purpose of the Special Operations Budget Control Level is to deploy specialized response units in emergencies and disasters. The Bureau provides crowd control, special event, search, hostage, crisis, and water-related support to monitor and protect critical infrastructure to protect lives and property, aid the work of uniformed officers and detectives, and promote the safety of the public. ",45565654.00
General Subfund,Seattle Police Department,P6000,Patrol Operations Administration,"The purpose of the Office of Professional Accountability Budget Control Level is to help to provide oversight with the goal that complaints involving department employees are handled in a thorough, professional, and expeditious manner, to retain the trust and confidence of employees and the public.",1315411.00
General Subfund,Seattle Police Department,P6100,West Precinct Patrol,"The purpose of the West Precinct Patrol Budget Control Level is to provide the full range of public safety and order maintenance services to residents of, and visitors to, the West Precinct, to promote safety in their homes, schools, businesses, and the community at large.",29024085.00
General Subfund,Seattle Police Department,P6200,North Precinct Patrol,"The purpose of the North Precinct Patrol Budget Control Level is to provide the full range of public safety and order maintenance services to residents of, and visitors to, the North Precinct, to promote safety in their homes, schools, businesses, and the community at large.",31389723.00
General Subfund,Seattle Police Department,P6500,South Precinct Patrol,"The purpose of the South Precinct Patrol Budget Control Level is to provide the full range of public safety and order maintenance services with the goal of keeping residents of, and visitors to, the South Precinct, safe in their homes, schools, businesses, and the community at large.",17035206.00
General Subfund,Seattle Police Department,P6700,Southwest Precinct Patrol,"The purpose of the Southwest Precinct Patrol Budget Control Level is to provide the full range of public safety and order maintenance services to residents of, and visitors to, the Southwest Precinct, to promote safety in their homes, schools, businesses, and the community at large.",15414679.00
General Subfund,Seattle Police Department,P7000,Criminal Investigations Administration,"The purpose of the Criminal Investigations Administration Budget Control Level is to direct and support the work of employees in the Criminal Investigations Bureau by providing oversight and policy guidance, and technical support. The program includes the Internet Crimes against Children and Human Trafficking section and the Crime Gun Initiative analyst.",8134776.00
General Subfund,Seattle Police Department,P7100,Violent Crimes Investigations,"The purpose of the Violent Crimes Investigations Budget Control Level is to apply a broad range of professional investigative skills and crime scene investigation techniques to homicide, assault, robbery, bias crimes, missing persons, extortion, threat and harassment, and gang-related cases, in order to hold offenders accountable, help prevent further harm to victims, and promote public safety.",7465891.00
General Subfund,Seattle Police Department,P7700,Narcotics Investigations,The purpose of the Narcotics Investigations Budget Control Level is to apply a broad range of professional investigative skills to interdict narcotics activities affecting the community and region to hold offenders involved in these activities accountable and to promote public safety.,4749243.00
General Subfund,Seattle Police Department,P7800,Special Investigations,"The purpose of the Special Investigations Budget Control Level is to apply a broad range of professional investigative and analytical skills toward investigating and interdicting vehicle theft, fraud, forgery, and financial exploitation cases; vice crimes and organized crime activities in the community; and toward identifying and describing crime patterns and trends with the goals of holding offenders involved in these activities accountable and to promote public safety.",4338182.00
General Subfund,Seattle Police Department,P7900,Special Victims,"The purpose of the Special Victims Budget Control Level is to apply a broad range of professional investigative skills to cases involving family violence, sexual assault, child, and elder abuse, and custodial interference with the goals of holding offenders accountable, preventing additional harm to victims, and promoting public safety.",6333699.00
General Subfund,Seattle Police Department,P8000,Field Support Administration,"The purpose of the Field Support Administration Budget Control Level is to provide policy direction and guidance to the employees and programs in the Department. The Field Support Administration Budget Control Level now includes the Communications, Information Technology, and Human Resources Programs; which were separate Budget Control Levels in prior budgets.",39294528.00
Judgment/ Claims Subfund (00126),Department of Finance & Administrative Services,CJ000,Claim Expenses,"The purpose of the Claim Expenses Budget Control Level is to provide the Director of the Department of Finance and Administrative Services with the resources to pay pending or actual claims and related costs against City government, as authorized by Chapter 5.24 of the Seattle Municipal Code. The Claims Budget Control Level is supported by the Judgment/ Claims Subfund of the General Fund.",3862500.00
Judgment/ Claims Subfund (00126),Law Department,JR000,Litigation Expenses,"The purpose of the Litigation Expenses Budget Control Level is to provide the City Attorney with the resources to pay anticipated, pending or actual judgments, claims payments, advance claims payments, and litigation expenses incurred while defending the City from judgments and claims. The Litigation Expenses Budget Control Level is supported by the Judgment/ Claims Subfund of the General Fund.",11586470.00
Judgment/ Claims Subfund (00126),Law Department,JR010,General Legal Expenses,"The purpose of the General Legal Expenses Budget Control Level is to provide the City Attorney with resources to pay legal costs associated with potential litigation against the City, where the City is a plaintiff or potential plaintiff in legal action, or other special projects. The General Legal Expenses Budget Control Level is supported by the Judgment/ Claims Subfund of the General Fund.",103000.00
Judgment/ Claims Subfund (00126),Law Department,JR020,Police Action Expenses,"The purpose of the Police Action Expenses Budget Control Level is to provide the City Attorney with the resources to pay pending or actual settlements and judgments against the City related to police action cases, or pay related costs to investigate and defend the City against claims and judgments related to police action cases. The Police Action Expenses Budget Control Level is supported by the Judgment/ Claims Subfund of the General Fund.",1307208.00
Municipal Jail Subfund,Executive,MUNIJAIL-BCL,Municipal Jail Bond Proceeds,The purpose of the Municipal Jail Bond Proceeds Budget Control Level is to pay capital costs associated with the construction of a new jail.,1000000.00
Arts Account (00140),Executive,VA140,Arts Account,"The purpose of the Arts Account Budget Control Level (BCL) is to invest in Seattle's arts and cultural community to keep artists living and working in Seattle, to build community through arts and cultural events, and to increase arts opportunities for youth. The BCL appropriates the Office's admission tax set-aside, which is 75 percent of the city's total Admission Tax revenues.",4730087.00
Cable Television Franchise Subfund (00160),Department of Information Technology,D160B,Cable Fee Support to Information Technology Fund,The purpose of the Cable Fee Support to Information Technology Fund Budget Control Level is to authorize the transfer of resources from the Cable Television Franchise Subfund to the Department of Information Technology's Information Technology Fund. These resources are used by the Department for a variety of programs consistent with Resolution 30379.,8669197.00
Cable Television Franchise Subfund (00160),Department of Information Technology,D160C,Cable Fee Support to Library Fund,The purpose of the Cable Fee Support to Library Fund Budget Control Level is to authorize the transfer of resources from the Cable Television Franchise Subfund to the Seattle Public Library's Operating Fund. The Library uses these resources to pay for and maintain computers available to the public.,190000.00
Cumulative Reserve Subfund - REET II Subaccount (00161),Department of Parks and Recreation,K72440,Debt Service and Contract Obligation (00161-CIP),The purpose of the Debt Service and Contract Obligation Budget Control Level (BCL) is to meet principal repayment and interest obligations on funds borrowed to meet Parks and Recreation's capital expenditure requirements and to provide funds for centrally allocated contracting services. This BCL is supported by REET II dollars (Fund 00161).,2018000.00
Cumulative Reserve Subfund - REET II Subaccount (00161),Department of Parks and Recreation,K72441,Parks Infrastructure (00161-CIP),"The purpose of the Parks Infrastructure Budget Control Level (BCL) is to provide for the rehabilitation, replacement and addition of Parks infrastructure. This BCL is funded by REET II dollars (Fund 00161).",475000.00
Cumulative Reserve Subfund - REET II Subaccount (00161),Department of Parks and Recreation,K72442,Forest Restoration (00161-CIP),The purpose of the Forest Restoration Budget Control Level (BCL) is to protect and restore Parks and Recreation's forest habitat and to mitigate future environmental impacts. This BCL is funded by REET II dollars (Fund 00161).,571000.00
Cumulative Reserve Subfund - REET II Subaccount (00161),Department of Parks and Recreation,K72444,Building Component Renovations (00161-CIP),The purpose of the Building Component Renovations Budget Control Level (BCL) is to rehabilitate and replace Parks and Recreation's buildings and their components. This BCL is funded by REET II dollars (Fund 00161).,1608000.00
Transportation Operating Fund (10310),Seattle Department of Transportation,17001,Bridges & Structures,"The purpose of the Bridges and Structures Budget Control Level is to maintain the City's bridges and structures which helps provide for the safe and efficient movement of people, goods and services throughout the city.",7718831.00
Cumulative Reserve Subfund - REET II Subaccount (00161),Department of Parks and Recreation,K72445,Ballfields/ Athletic Courts/ Play Areas (00161-CIP),"The purpose of the Ballfields/ Athletic Courts/ Play Areas Budget Control Level (BCL) is to provide for the rehabilitation and replacement of Parks and Recreation's ballfields, athletic courts, and play areas. This BCL is funded by REET II dollars (Fund 00161).",1356000.00
Cumulative Reserve Subfund - REET II Subaccount (00161),Department of Parks and Recreation,K72447,Docks/ Piers/ Floats/ Seawalls/ Shorelines (00161- CIP),"The purpose of the Docks/ Piers/ Floats/ Seawalls/ Shorelines Budget Control Level (BCL) is to provide for the rehabilitation and replacement of Parks and Recreation's docks, piers, floats, seawalls and shorelines. This BCL is funded by REET II dollars (Fund 00161).",1122000.00
Cumulative Reserve Subfund - REET II Subaccount (00161),Department of Parks and Recreation,K72449,Citywide and Neighborhood Projects (00161-CIP),"The purpose of the Citywide and Neighborhood Projects Budget Control Level (BCL) is to provide funds for the development, and rehabilitation of neighborhood parks and green spaces. This BCL is funded by REET II dollars (Fund 00161).",955000.00
Cumulative Reserve Subfund - REET II Subaccount (00161),Seattle Department of Transportation,2ECM0,CRS REET II Support to Transportation,"The purpose of the CRS REET II Support to Transportation Budget Control Level is to appropriate funds from REET II to the Transportation Operating Fund to support specific capital programs, or in the case of the Debt Service Program, appropriate funds to pay debt service costs directly from the REET II Subaccount.",9596000.00
Cumulative Reserve Subfund - REET I Subaccount (00163),Department of Finance & Administrative Services,A1FL1,Neighborhood Fire Stations (00163-CIP),The purpose of the Neighborhood Fire Stations Budget Control Level (BCL) is to replace and renovate fire stations and other emergency response facilities as part of the Fire Facilities and Emergency Response Levy program. This BCL is funded by REET I dollars (Fund 00163).,1880000.00
Cumulative Reserve Subfund - REET I Subaccount (00163),Department of Finance & Administrative Services,A1GM1,General Government Facilities - General (00163-CIP),The purpose of the General Government Facilities - General Budget Control Level (BCL) is to execute capital projects in general government facilities. This BCL is funded by REET I dollars (Fund 00163).,141000.00
Cumulative Reserve Subfund - REET I Subaccount (00163),Department of Finance & Administrative Services,A1MSY,Maintenance Shops and Yards (00163-CIP),"The purpose of the Maintenance Shops and Yards Budget Control Level (BCL) is to preserve, improve or enhance the operation capacity of existing FAS-owned and operated shop and yard facilities. This BCL is funded by REET I dollars (Fund 00163).",2552000.00
Cumulative Reserve Subfund - REET I Subaccount (00163),Department of Finance & Administrative Services,A1PS1,Public Safety Facilities - Police (00163-CIP),"The purpose of the Public Safety Facilities - Police Budget Control Level (BCL) is to renovate, expand, replace, or build police facilities. This BCL is funded by REET I dollars (Fund 00163).",365000.00
Cumulative Reserve Subfund - REET I Subaccount (00163),Department of Parks and Recreation,K72440,Debt Service and Contract Obligation (00163-CIP),The purpose of the Debt Service and Contract Obligation Budget Control Level (BCL) is to meet principal repayment and interest obligations on funds borrowed to meet Parks and Recreation's capital expenditure requirements and to provide funds for centrally allocated contracting services. This BCL is funded by REET I dollars (Fund 00163).,803000.00
Cumulative Reserve Subfund - REET I Subaccount (00163),Department of Parks and Recreation,K72442,Forest Restoration (00163-CIP),The purpose of the Forest Restoration Budget Control Level (BCL) is to protect and restore Parks and Recreation's forest habitat and to mitigate future environmental impacts. This BCL is funded by REET I dollars (Fund 00163).,1293000.00
Cumulative Reserve Subfund - REET I Subaccount (00163),Department of Parks and Recreation,K72444,Building Component Renovations (00163-CIP),The purpose of the Building Component Renovations Budget Control Level (BCL) is to rehabilitate and replace Parks and Recreation's buildings and their components. This BCL is funded by REET II dollars (Fund 00161).,4068000.00
Cumulative Reserve Subfund - REET I Subaccount (00163),Department of Parks and Recreation,K72445,Ballfields/ Athletic Courts/ Play Areas (00163-CIP),"The purpose of the Ballfields/ Athletic Courts/ Play Areas Budget Control Level (BCL) is to provide for the rehabilitation and replacement of Parks and Recreation's ballfields, athletic courts, and play areas. This BCL is funded by REET II dollars (Fund 00161).",514000.00
Cumulative Reserve Subfund - REET I Subaccount (00163),Department of Planning and Development,2UU50-DC-163,Design Commission - CRS REET I,"The purpose of the Design Commission - CRS REET I Budget Control Level is to support the Design Commission, which advises the Mayor, City Council, and City departments on the design of capital improvements and other projects that shape Seattle's public realm. The goals of the Commission are to see that public facilities and projects within the city's right-of-way incorporate design excellence, that City projects achieve their goals in an economical manner, and that they fit the City's design goals.",508071.00
Cumulative Reserve Subfund - REET I Subaccount (00163),Department of Planning and Development,2UU51,Tenant Relocation Assistance Program REET I,"The purpose of the Tenant Relocation Assistance Program REET I Budget Control Level is to allow the City to pay for relocation assistance to low income tenants displaced by development activity, as authorized by SMC 22.210 and RCW 59.18.440.",157436.00
Cumulative Reserve Subfund - REET I Subaccount (00163),Executive,V2ACGM-163,Artwork Conservation - OACA - CRS REET I,"The purpose of the Artwork Conservation - OACA - CRS REET I Budget Control Level is to support the Arts Conservation Program, which is administered by the Office of Arts & Cultural Affairs. This program provides professional assessment, conservation, repair, routine and major maintenance, and relocation of artwork for both the City's approximately 400-piece, permanently sited art collection and the approximately 2,700- piece portable artwork collection. The entire collection is an asset to the City, and while major maintenance is generally not required for the new artwork entering the collection, professional routine care and responses to vandalism are necessary to protect this investment.",187000.00
Cumulative Reserve Subfund - REET I Subaccount (00163),Seattle Center,2SC10,CRS REET I Support to McCaw Hall Fund,The purpose of the CRS REET I Support to McCaw Hall Fund Budget Control Level is to appropriate resources from REET I to the McCaw Hall Fund to support major maintenance work on McCall Hall. Any capital projects related to the expenditure of this reserve are listed in Seattle Center's Capital Improvement Program.,250000.00
Cumulative Reserve Subfund - REET I Subaccount (00163),Seattle Center,S03P01,Campuswide Improvements and Repairs (00163-CIP),"The purpose of the Campuswide Improvements and Repairs Budget Control Level (BCL) is to provide for improvements throughout the Seattle Center campus, including lighting, signage, artwork maintenance, open space and hard surface repairs, accessibility improvements, and planning. This BCL is funded by REET I dollars (Fund 00163).",1145000.00
Cumulative Reserve Subfund - REET I Subaccount (00163),Seattle Center,S03P02,Facility Infrastructure Renovation and Repair (00163- CIP),"The purpose of the Facility Infrastructure Renovation and Repair Budget Control Level (BCL) is to provide for seismic improvements, roof repair and replacement, and other infrastructure improvements to facilities on the Seattle Center campus. This BCL is funded by REET I dollars (Fund 00163).",200000.00
Cumulative Reserve Subfund - REET I Subaccount (00163),Seattle Center,S03P03,Utility Infrastructure (00163-CIP),"The purpose of the Utility Infrastructure Budget Control Level (BCL) is to provide for repair, replacement and renovation of utilities at Seattle Center, including chilled water and steam lines, electrical equipment, and communication lines. This BCL is funded by REET I dollars (Fund 00163).",275000.00
Cumulative Reserve Subfund - REET I Subaccount (00163),Seattle Center,S03P04,Key Arena (00163-CIP),The purpose of the Key Arena Budget Control Level is to maintain and enhance the KeyArena facility. This BCL is funded by REET I dollars (Fund 00163).,200000.00
Cumulative Reserve Subfund - REET I Subaccount (00163),Seattle Center,S9113,Center House Rehabilitation (00163-CIP),The purpose of the Center House Rehabilitation Budget Control Level (BCL) is to provide for major maintenance and improvements to the Center House at Seattle Center. This BCL is funded by REET I dollars (Fund 00163).,1044000.00
Cumulative Reserve Subfund - REET I Subaccount (00163),Seattle Center,S9705,Fisher Pavilion (00163-CIP),The purpose of the Fisher Pavilion Budget Control Level (BCL) is to provide for capital repairs and improvements to the Fisher Pavilion at Seattle Center. This BCL is funded by REET I dollars (Fund 00163).,50000.00
Cumulative Reserve Subfund - REET I Subaccount (00163),Seattle Center,S9902,Public Gathering Space Improvements (00163-CIP),"The purpose of the Public Gathering Space Improvements Budget Control Level (BCL) is to provide for major maintenance and improvements to meeting rooms, exhibition spaces, and public gathering spaces at Seattle Center. This BCL is funded by CRS Unrestricted dollars. (Fund 00163-CIP)",300000.00
Cumulative Reserve Subfund - REET I Subaccount (00163),Seattle Department of Transportation,2EC30,CRS REET I Support to Transportation,"The purpose of the CRS REET I Support to Transportation Fund Budget Control Level is to appropriate funds from REET I to the Transportation Operating Fund to support specific capital programs, or in the case of the Debt Service Program, appropriate funds to pay debt service costs directly from the REET I Subaccount.",1500000.00
Cumulative Reserve Subfund - REET I Subaccount (00163),The Seattle Public Library,B301111,Library Major Maintenance (00163-CIP),"The purpose of the Library Major Maintenance Budget Control Level is to provide major maintenance to Library facilities, which include the Central Library and all branch libraries, to help provide for building integrity and improve functionality for patrons and staff. This BCL is funded by REET I dollars (Fund 00163).",500000.00
Cumulative Reserve Subfund - Unrestricted Subaccount (00164),Cumulative Reserve Subfund,KMOHAI,MOHAI Replacement Facilities,"The purpose of the MOHAI Replacement Facilities BCL is to replace the functions and facilities of the Museum of History and Industry's (MOHAI) Montlake location, including but not limited to those facilities and functions including in MOHAI's proposed project at the Lake Union Armory. The City intends to use the proceeds it receives from the Washington State Department of Transportation's purchase of the city-owned MOHAI facility at Montlake to contract with MOHAI to replace those functions and facilities.",2500000.00
Cumulative Reserve Subfund - Unrestricted Subaccount (00164),Department of Finance & Administrative Services,A51647,Garden of Remembrance (00164-CIP),The purpose of the Garden of Remembrance Budget Control Level (BCL) is to provide City support for replacing components of the memorial located at the Benaroya Concert Hall. This BCL is funded by CRS Unrestricted dollars (Fund 00164),24781.00
Cumulative Reserve Subfund - Unrestricted Subaccount (00164),Department of Parks and Recreation,K72440,Debt Service and Contract Obligation (00164-CIP),The purpose of the Debt Service and Contract Obligation Budget Control Level (BCL) is to meet principal repayment and interest obligations on funds borrowed to meet Parks and Recreation's capital expenditure requirements and to provide funds for centrally allocated contracting services. This BCL is funded by CRS Unrestricted dollars (Fund 00164).,1611000.00
Cumulative Reserve Subfund - Unrestricted Subaccount (00164),Department of Parks and Recreation,K72442,Forest Restoration (00164-CIP),The purpose of the Forest Restoration Budget Control Level (BCL) is to protect and restore Parks and Recreation's forest habitat and to mitigate future environmental impacts. This BCL is funded by CRS Unrestricted dollars (Fund 00164).,101000.00
